the_geom,OBJECTID,PLACENAME,PLACETYPE,ADDRESS,CITY,ZIP,SOURCE,UNIQUEID,LATITUDE,LONGITUDE,LASTUPDATE
POINT (-121.763818943146 37.29056443287),605,San Jose Fire Station 11,FireStation,2840  THE VILLos AltosGES PY,San Jose,,County Comm,112012FIRE,37.29055948,-121.76380588,08/09/2012 12:00:00 AM +0000
POINT (-121.875659766095 37.426621239464),207,Murphy Park,Park,,,,ESRI,2032010POS,37.42661629,-121.87564667,09/14/2011 12:00:00 AM +0000
POINT (-121.883274181157 37.340453676151),963,St. Patrick School,School,51 North 9th Street,San Jose,95112,School Website/NCES,1992014PRIVATE,37.34044873,-121.8832611,03/14/2014 12:00:00 AM +0000
POINT (-121.995211707231 37.356976141227),1329,New Valley Continuation High,School,1875 Lawrence Road,Santa Clara,95051,School Website 2014/CA_DEPT_EDU,43696744338406,37.3569712,-121.9951986,10/06/2014 12:00:00 AM +0000
POINT (-122.077816128056 37.395730146496),476,Mayview Community Health Center-Mv,Clinic,100 NO MOFFETT BLVD SUITE NO.101,MOUNTAIN VIEW,94043,Office Of StateWide Health Planning And Development (OSHPD),306430830,37.39572521,-122.07780301,08/10/2012 12:00:00 AM +0000
POINT (-122.024833602322 37.323118407635),1501,University of San Francisco - South Bay Regional Campus,College and University,20085 Stevens Creek Boulevard,Cupertino,95014,Web Site,172012CU,37.32311347,-122.0248205,07/10/2009 12:00:00 AM +0000
POINT (-121.81458348885 37.367826054516),1232,Horace Cureton Elementary,School,3720 East Hills Drive,San Jose,95127,School Website 2014/CA_DEPT_EDU,43693696046189,37.3678211,-121.81457041,09/15/2014 12:00:00 AM +0000
POINT (-121.94675245088 37.285067044877),896,Montessori Academy Of Campbell,School,177 E RINCON AVE,CAMPBELL,95008,NCES,1252014PRIVATE,37.28506211,-121.94673936,03/11/2014 12:00:00 AM +0000
POINT (-121.911025221085 37.245687932175),178,Lone Hill Park,Park,,,,ESRI,1742010POS,37.245683,-121.91101214,09/14/2011 12:00:00 AM +0000
POINT (-121.941168533144 37.366715913918),192,Memorial Cross Park,Park,,,,ESRI,1882010POS,37.36671097,-121.94115544,09/14/2011 12:00:00 AM +0000
POINT (-122.106611555368 37.371657802728),1137,Los Altos Elementary,School,201 Covington Road,Los Altos,94024-4030,School Website 2014/CA_DEPT_EDU,43695180000000,37.37165287,-122.10659843,09/08/2014 12:00:00 AM +0000
POINT (-122.035591322516 37.258314994932),290,Wildwood Park,Park,,,,ESRI,2862010POS,37.25831007,-122.03557822,09/14/2011 12:00:00 AM +0000
POINT (-122.147253984295 37.431918192594),225,Peers Park,Park,,,,ESRI,2212010POS,37.43191326,-122.14724085,09/14/2011 12:00:00 AM +0000
POINT (-121.910126969276 37.26060742305),1418,Sartorette Charter,School,3850 Woodford Drive,San Jose,95124,School Website 2014/CA_DEPT_EDU,43693856046494,37.26060249,-121.91011389,10/08/2014 12:00:00 AM +0000
POINT (-121.914897037452 37.351782579687),614,San Jose Fire Station 20,FireStation,1433  AIRPORT BL,San Jose,,County Comm,202012FIRE,37.35177763,-121.91488395,08/09/2012 12:00:00 AM +0000
POINT (-121.869433535842 37.270620195032),1443,Terrell Elementary,School,3925 Pearl Avenue,San Jose,95136,School Website 2014/CA_DEPT_EDU,43696666048714,37.27061525,-121.86942046,10/08/2014 12:00:00 AM +0000
POINT (-122.014917642897 37.26547997243),1369,Redwood Middle,School,13925 Fruitvale Avenue,Saratoga,95070,School Website 2014/CA_DEPT_EDU,43696826049092,37.26547504,-122.01490455,10/06/2014 12:00:00 AM +0000
POINT (-122.034344160185 37.402444342463),409,Moffett Park Station,VTA Light Rail Station,Moffett Park  C  Station,,,VTA,000099,37.4024394,-122.03433105,01/15/2012 12:00:00 AM +0000
POINT (-122.117742119507 37.375272550751),254,Shoup Park,Park,,,,ESRI,2502010POS,37.37526762,-122.117729,09/14/2011 12:00:00 AM +0000
POINT (-122.095177858657 37.388731850349),964,St Paul Lutheran Child Development Center,School,1075 EL MONTE AVE,MOUNTAIN VIEW,94040,NCES,2002014PRIVATE,37.38872692,-122.09516474,03/14/2014 12:00:00 AM +0000
POINT (-121.995924346874 37.407681699309),634,Sunnyvale Fire Station 6,FireStation,1282 N Lawrence Station Road RD,SunnyVale,,County Comm,402012FIRE,37.40767676,-121.99591124,08/09/2012 12:00:00 AM +0000
POINT (-121.808200240651 37.346199328088),1317,Mount Pleasant High,School,1750 South White Road,San Jose,95127,School Website 2014/CA_DEPT_EDU,43694274334900,37.34619438,-121.80818717,10/02/2014 12:00:00 AM +0000
POINT (-121.973117482662 37.339587768578),722,Central Park Library,Library,2635 Homestead Road,Santa Clara,95051,Web,172012LIB,37.33958283,-121.97310438,08/08/2012 12:00:00 AM +0000
POINT (-121.96840313279 37.312297294275),996,Yavneh Day School,School,3800 Blackford Avenue,San Jose,95117,School Website,2372014PRIVATE,37.31229236,-121.96839004,03/14/2014 12:00:00 AM +0000
POINT (-121.978051640486 37.292396291732),918,Premier International Language Academy,School,4250 Latimer Avenue,San Jose,95130,School Website/NCES,1512014PRIVATE,37.29239136,-121.97803855,03/12/2014 12:00:00 AM +0000
POINT (-121.688650053927 37.181634452681),30,Coyote Creek Parkway County Park - South,Park,,,,SCCPRD,242011POS,37.18162951,-121.68863702,09/14/2011 12:00:00 AM +0000
POINT (-122.000297650574 37.331111605795),287,Westwood Oak Park,Park,,,,ESRI,2832010POS,37.33110667,-122.00028455,09/14/2011 12:00:00 AM +0000
POINT (-121.959514060375 37.304123879652),920,Primary Plus Amber Drive Elementary School,School,3500 Amber Drive,San Jose,95117,School Website/NCES,1532014PRIVATE,37.30411894,-121.95950097,03/12/2014 12:00:00 AM +0000
POINT (-121.889352267164 37.290130455345),173,Lincoln Glen Park,Park,,,,ESRI,1692010POS,37.29012551,-121.88933919,09/14/2011 12:00:00 AM +0000
POINT (-122.08394089117 37.230268502383),7,Sanborn County Park,Park,,,,SCCPRD,12011POS,37.23026358,-122.08392779,09/14/2011 12:00:00 AM +0000
POINT (-121.968797603097 37.425234045987),55,Alviso Park,Park,,,,ESRI,512010POS,37.4252291,-121.9687845,09/14/2011 12:00:00 AM +0000
POINT (-121.859226035681 37.266582674174),345,Branham Station,VTA Light Rail Station,Hwy 87  At  Branham,,,VTA,000038,37.26657773,-121.85921296,01/15/2012 12:00:00 AM +0000
POINT (-121.915278744121 37.430745308615),263,Starlite Park,Park,,,,ESRI,2592010POS,37.43074036,-121.91526564,09/14/2011 12:00:00 AM +0000
POINT (-121.929034897208 37.304121231286),1098,Campbell Adult and Community Education,School,1224 Del Mar Avenue,San Jose,95128,School Website 2014/CA_DEPT_EDU,43694014330528,37.30411629,-121.92902181,09/02/2014 12:00:00 AM +0000
POINT (-121.936179928397 37.294068988332),401,Hamilton Station,VTA Light Rail Station,Hamilton  At  Station,,,VTA,000125,37.29406405,-121.93616684,01/15/2012 12:00:00 AM +0000
POINT (-121.823839953883 37.272893012107),104,Danna Rock Park,Park,,,,ESRI,1002010POS,37.27288807,-121.82382689,09/14/2011 12:00:00 AM +0000
POINT (-122.107216138479 37.407229826129),317,San Antonio Station,Railroad Station,,San Antonio,,VTA,42012RRS,37.40722489,-122.10720301,01/15/2012 12:00:00 AM +0000
POINT (-121.959059314792 37.358138934865),1420,Scott Lane Elementary,School,1925 Scott Boulevard,Santa Clara,95050,School Website 2014/CA_DEPT_EDU,43696746049019,37.35813399,-121.95904622,10/08/2014 12:00:00 AM +0000
POINT (-121.844838993314 37.393087482369),1357,Piedmont Middle,School,955 Piedmont Road,San Jose,95132,School Website 2014/CA_DEPT_EDU,43693776046395,37.39308253,-121.84482591,10/06/2014 12:00:00 AM +0000
POINT (-121.846310002869 37.326255240146),1078,Bridges Academy,School,1702 Mclaughlin Avenue,San Jose,95122,School Website 2014/CA_DEPT_EDU,43694506047229,37.32625029,-121.84629693,08/27/2014 12:00:00 AM +0000
POINT (-121.849326471646 37.361964030222),529,Regional Medical Center of San Jose,Hospital,225 North Jackson Avenue,San Jose,95116,BIZ JRNL 2007,162012H,37.36195908,-121.84931339,08/01/2011 12:00:00 AM +0000
POINT (-121.815184553363 37.370381236117),1233,Joseph George Middle,School,277 Mahoney Drive,San Jose,95127,School Website 2014/CA_DEPT_EDU,43693696068910,37.37037628,-121.81517148,09/15/2014 12:00:00 AM +0000
POINT (-121.870722579983 37.244569998485),332,Almaden Station,VTA Light Rail Station,Almaden Station  At  Station,,,VTA,000003,37.24456506,-121.87070951,01/15/2012 12:00:00 AM +0000
POINT (-121.578437064541 37.011211068852),1081,Brownell Middle,School,7800 Carmel Street,Gilroy,95020,School Website 2014/CA_DEPT_EDU,43694846111785,37.01120613,-121.57842406,08/27/2014 12:00:00 AM +0000
POINT (-121.891158868491 37.338912286245),245,Saint James Park,Park,,,,ESRI,2412010POS,37.33890734,-121.89114578,09/14/2011 12:00:00 AM +0000
POINT (-121.899659184176 37.302580348052),742,Willow Glen Branch Library,Library,1157 Minnesota Ave,San Jose,95125,Web,372012LIB,37.30257541,-121.8996461,08/08/2012 12:00:00 AM +0000
POINT (-122.011193440262 37.408845537467),390,Crossman Station,VTA Light Rail Station,Java  At  Crossman,,,VTA,000074,37.40884059,-122.01118033,01/15/2012 12:00:00 AM +0000
POINT (-122.063331679127 37.328284930523),1433,Stevens Creek Elementary,School,10300 Ainsworth Drive,Cupertino,95014,School Website 2014/CA_DEPT_EDU,43694196047088,37.32828,-122.06331857,10/08/2014 12:00:00 AM +0000
POINT (-121.862168736661 37.33753772713),1302,McKinley Elementary,School,651 Macredes Avenue,San Jose,95116,School Website 2014/CA_DEPT_EDU,43694506047245,37.33753278,-121.86215566,09/30/2014 12:00:00 AM +0000
POINT (-121.567389161789 36.974073604905),1490,Gavilan College,College and University,5055 Santa Teresa Boulevard,Gilroy,95020,Web Site,62012CU,36.97406867,-121.56737617,07/10/2009 12:00:00 AM +0000
POINT (-121.88164784087 37.277276435842),907,One World Montessori School (San Jose),School,5331 Dent Avenue,San Jose,95118,School Website/NCES,1382014PRIVATE,37.27727149,-121.88163476,03/11/2014 12:00:00 AM +0000
POINT (-121.942801601631 37.332228912367),898,Morgan Autism Center,School,2280 KENWOOD AVE,SAN JOSE,95128,NCES,1272014PRIVATE,37.33222397,-121.94278851,03/11/2014 12:00:00 AM +0000
POINT (-122.025505796807 37.224565112106),304,El Sereno Open Space Preserve,Open Space,,,,MROSD,3012010POS,37.22456019,-122.0254927,09/14/2011 12:00:00 AM +0000
POINT (-122.028729147261 37.318907807505),707,Cupertino Library,Library,10800 Torre Avenue,Cupertino,95014,Web,22012LIB,37.31890287,-122.02871604,08/08/2012 12:00:00 AM +0000
POINT (-122.075381092146 37.344088349538),713,Woodland Branch Library,Library,1975 Grant Road,Los Altos,94024,Web,82012LIB,37.34408342,-122.07536798,08/08/2012 12:00:00 AM +0000
POINT (-122.156459004728 37.437461092768),1348,Palo Alto Adult Education,School,50 Embarcadero Road,Palo Alto,94301,School Website 2014/CA_DEPT_EDU,43696414335584,37.43745616,-122.15644587,10/06/2014 12:00:00 AM +0000
POINT (-121.935489907746 37.271960560531),940,Skylar Hadden School,School,2720 S BASCOM AVE,SAN JOSE,95124,NCES,1752014PRIVATE,37.27195562,-121.93547682,03/13/2014 12:00:00 AM +0000
POINT (-121.894785043443 37.245066737762),611,San Jose Fire Station 17,FireStation,5170  CONISTON WY,San Jose,,County Comm,172012FIRE,37.2450618,-121.89477197,08/09/2012 12:00:00 AM +0000
POINT (-121.943863421049 37.260785238885),1188,Farnham Charter,School,15711 Woodard Road,San Jose,95124,School Website 2014/CA_DEPT_EDU,43693856046452,37.2607803,-121.94385034,09/11/2014 12:00:00 AM +0000
POINT (-121.88420761847 37.441627996095),85,Cardoza Park,Park,,,,ESRI,812010POS,37.44162304,-121.88419452,09/14/2011 12:00:00 AM +0000
POINT (-121.951423497675 37.304330278935),802,Bethel Preschool & Kindergarten,School,1201 S WINCHESTER BLVD,SAN JOSE,95128,NCES,252014PRIVATE,37.30432534,-121.95141041,03/10/2014 12:00:00 AM +0000
POINT (-122.066188126587 37.399807277794),844,German International School of Silicon Valley,School,310 Easy Street,Mountain View,94043,School Website/NCES,712014PRIVATE,37.39980234,-122.06617501,03/11/2014 12:00:00 AM +0000
POINT (-121.819836452537 37.28541377672),1198,Voices College-Bound Language Academy,School,4075 Sacramento Avenue,San Jose,95111,School Website 2014/CA_DEPT_EDU,43694500113662,37.28540883,-121.81982338,09/11/2014 12:00:00 AM +0000
POINT (-122.019327981856 37.411989874409),383,Borregas Station,VTA Light Rail Station,Java  At  Borregas,,,VTA,000077,37.41198493,-122.01931487,01/15/2012 12:00:00 AM +0000
POINT (-122.005424135683 37.331214095856),498,Satellite Dialysis-North Tantau,Clinic,10596 NORTH TANTAU AVENUE,CUPERTINO,95014,Office Of StateWide Health Planning And Development (OSHPD),306434187,37.33120916,-122.00541103,08/10/2012 12:00:00 AM +0000
POINT (-121.98421929204 37.289039520179),1314,Moreland Middle,School,4600 Student Lane,San Jose,95130,School Website 2014/CA_DEPT_EDU,43695756047781,37.28903459,-121.9842062,10/02/2014 12:00:00 AM +0000
POINT (-121.967593533432 37.424172557159),579,Alviso Community Center,Community Center,5050 N 1st St,San Jose,,ISD-GIS -  Compiled data from the internet,272012C,37.42416761,-121.96758043,08/09/2012 12:00:00 AM +0000
POINT (-122.061530395614 37.340810572705),1456,West Valley Elementary,School,1635 Belleville Way,Sunnyvale,94087,School Website 2014/CA_DEPT_EDU,43694196047104,37.34080564,-122.06151728,10/09/2014 12:00:00 AM +0000
POINT (-121.901554365881 37.310844449112),1371,River Glen,School,1088 Broadway,San Jose,95125,School Website 2014/CA_DEPT_EDU,43696666048672,37.31083951,-121.90154128,10/06/2014 12:00:00 AM +0000
POINT (-121.940914407505 37.342386650003),1083,Washington Elementary,School,270 Washington Avenue,Santa Clara,95050,School Website 2014/CA_DEPT_EDU,43696746049035,37.34238171,-121.94090131,08/28/2014 12:00:00 AM +0000
POINT (-122.156183810234 37.449849289336),537,Brauer Totalcare Medical Center,Hospital,,Palo Alto,,ESRI 2008 & 2009 Map and Data,252012H,37.44984435,-122.15617067,08/01/2011 12:00:00 AM +0000
POINT (-121.991899383116 37.382905471363),1437,Summit Public School: Denali,School,495 Mercury Drive,Sunnyvale,94085,School Website 2014/CA_DEPT_EDU,43104390128090,37.38290053,-121.99188628,10/08/2014 12:00:00 AM +0000
POINT (-121.871883198217 37.34993279817),1395,San Jose Community School,School,275 N. 24th Street,San Jose,95116,School Website 2014/CA_DEPT_EDU,43104394330171,37.34992785,-121.87187011,10/07/2014 12:00:00 AM +0000
POINT (-121.926103099451 37.291883316135),934,San Jose Montessori School,School,1300 SHEFFIELD AVE RMS 9&10,CAMPBELL,95008,NCES,1682014PRIVATE,37.29187838,-121.92609001,03/13/2014 12:00:00 AM +0000
POINT (-121.854806444314 37.258193822824),1221,Gunderson Plus (Continuation),School,622 Gaundabert Lane,San Jose,95136,School Website 2014/CA_DEPT_EDU,43696664330429,37.25818888,-121.85479337,09/15/2014 12:00:00 AM +0000
POINT (-121.942074493185 37.351864521856),654,Santa Clara Fire Station 1,FireStation,777  BENTON ST,Santa Clara,,County Comm,612012FIRE,37.35185958,-121.9420614,08/09/2012 12:00:00 AM +0000
POINT (-121.895457551604 37.437726930082),226,Peter T Gill Park,Park,,,,ESRI,2222010POS,37.43772198,-121.89544445,09/14/2011 12:00:00 AM +0000
POINT (-122.104485168994 37.424843797937),862,Kehillah Jewish High School,School,3900 Fabian Way,Palo Alto,94303,School Website/NCES,892014PRIVATE,37.42483886,-122.10447204,03/11/2014 12:00:00 AM +0000
POINT (-121.831779194185 37.328213862139),610,San Jose Fire Station 16,FireStation,2001 S KING RD,San Jose,,County Comm,162012FIRE,37.32820891,-121.83176612,08/09/2012 12:00:00 AM +0000
POINT (-122.028348268109 37.358723681228),561,Sunnyvale Community Center,Community Center,550 E Remington Dr,Sunnyvale,,ISD-GIS -  Compiled data from the internet,92012C,37.35871874,-122.02833516,08/09/2012 12:00:00 AM +0000
POINT (-121.586746819434 37.017687084565),643,Gilroy Fire Station 2,FireStation,8383  WREN AV,Gilroy,,County Comm,502012FIRE,37.01768215,-121.58673381,08/09/2012 12:00:00 AM +0000
POINT (-121.851880398038 37.219587724821),787,Almaden Country School,School,6835 Trinidad Drive,San Jose,95120,School Website 2013/NCES,42014PRIVATE,37.21958279,-121.85186733,03/07/2014 12:00:00 AM +0000
POINT (-121.567726072501 36.970989306275),1161,Dr. T. J. Owens Gilroy Early College Academy,School,"5055 Santa Teresa Boulevard, PB17",Gilroy,95020,School Website 2014/CA_DEPT_EDU,43694840114496,36.97098437,-121.56771308,09/09/2014 12:00:00 AM +0000
POINT (-121.897255757916 37.24901329147),1050,Athenour Elementary,School,5200 Dent Avenue,San Jose,95118,School Website 2014/CA_DEPT_EDU,43697080117341,37.24900835,-121.89724268,08/26/2014 12:00:00 AM +0000
POINT (-121.839810986892 37.321358026622),1252,KIPP Heritage Academy,School,1250 Taper Lane,San Jose,95122,School Website 2014/CA_DEPT_EDU,43694500129205,37.32135308,-121.83979791,09/22/2014 12:00:00 AM +0000
POINT (-121.993617039487 37.339365764823),869,Kindercare Learning Center - Bing,School,840 BING DR,SANTA CLARA,95051,NCES,962014PRIVATE,37.33936083,-121.99360394,03/11/2014 12:00:00 AM +0000
POINT (-121.902447372373 37.352020818412),430,Civic Center Station,VTA Light Rail Station,North First  At  Civic Center,,,VTA,000042,37.35201587,-121.90243428,01/15/2012 12:00:00 AM +0000
POINT (-121.857297951999 37.244762642265),796,Action Day Primary Plus Allen School,School,5845 ALLEN AVE,SAN JOSE,95123,NCES,162014PRIVATE,37.2447577,-121.85728488,03/10/2014 12:00:00 AM +0000
POINT (-122.152289647524 37.419031050981),284,Weissharr Park,Park,,,,ESRI,2802010POS,37.41902612,-122.15227651,09/14/2011 12:00:00 AM +0000
POINT (-121.843870315343 37.216899670795),1266,Leland Plus (Continuation),School,6677 Camden Avenue,San Jose,95120,School Website 2014/CA_DEPT_EDU,43696664330460,37.21689473,-121.84385725,09/30/2014 12:00:00 AM +0000
POINT (-121.928615034374 37.331781245027),205,Municipal Rose Garden,Park,,,,ESRI,2012010POS,37.3317763,-121.92860194,09/14/2011 12:00:00 AM +0000
POINT (-121.842205838622 37.357625862335),1374,Rocketship 9 at Jackson,School,70 South Jackson Avenue,San Jose,95116,School Website 2014/CA_DEPT_EDU,43104390129262,37.35762091,-121.84219276,10/06/2014 12:00:00 AM +0000
POINT (-121.987720679554 37.358059853058),1077,Briarwood Elementary,School,1930 Townsend Avenue,Santa Clara,95051,School Website 2014/CA_DEPT_EDU,43696746048821,37.35805491,-121.98770758,08/27/2014 12:00:00 AM +0000
POINT (-122.162016326318 37.446922273625),1378,Rocketship Eight Elementary,School,"420 Florence Street, Suite 300",Palo Alto,94301,School Website 2014/CA_DEPT_EDU,43104390126045,37.44691734,-122.16200319,10/06/2014 12:00:00 AM +0000
POINT (-122.014479950131 37.385514441962),124,Fair Oaks Park,Park,,,,ESRI,1202010POS,37.3855095,-122.01446684,09/14/2011 12:00:00 AM +0000
POINT (-121.888923286298 37.335800803727),451,Santa Clara Station,VTA Light Rail Station,South Second  At  Santa Clara,,,VTA,000041,37.33579586,-121.8889102,01/15/2012 12:00:00 AM +0000
POINT (-121.906742177987 37.351611682373),758,Main Jail North,Police,150 W HEDDING ST,SAN JOSE,95110,County Comm,192012POLICE,37.35160674,-121.90672909,08/30/2012 12:00:00 AM +0000
POINT (-122.114897509912 37.421073244345),196,Mitchell Park,Park,,,,ESRI,1922010POS,37.42106831,-122.11488438,09/14/2011 12:00:00 AM +0000
POINT (-122.128886812553 37.357952381482),668,County Fire El Monte Station,FireStation,12355  EL MONTE RD,Los Altos,,County Comm,752012FIRE,37.35794745,-122.12887369,08/09/2012 12:00:00 AM +0000
POINT (-122.009563765399 37.402781902704),395,Fair Oaks Station,VTA Light Rail Station,Tasman  At  Fair Oaks,,,VTA,000073,37.40277696,-122.00955065,01/15/2012 12:00:00 AM +0000
POINT (-121.818723490077 37.25941427003),91,Chynoweth Park,Park,,,,ESRI,872010POS,37.25940933,-121.81871042,09/14/2011 12:00:00 AM +0000
POINT (-121.958295276119 37.293006630154),999,Veritas Christian Academy,School,"400 Llewellyn Avenue, Unit 2",Campbell,95008,School Website,2402014PRIVATE,37.29300169,-121.95828218,07/10/2009 12:00:00 AM +0000
POINT (-121.929089867732 37.303716774477),1099,Del Mar High,School,1224 Del Mar Avenue,San Jose,95128,School Website 2014/CA_DEPT_EDU,43694014331955,37.30371183,-121.92907678,09/02/2014 12:00:00 AM +0000
POINT (-121.904480042519 37.419621647278),645,Milpitas Station 1,FireStation,777 S MAIN ST,Milpitas,,County Comm,522012FIRE,37.4196167,-121.90446695,08/09/2012 12:00:00 AM +0000
POINT (-121.884818870488 37.251448048314),1024,Almaden Elementary,School,1295 Dentwood Drive,San Jose,95118,School Website 2014/CA_DEPT_EDU,43696666048425,37.25144311,-121.8848058,08/18/2014 12:00:00 AM +0000
POINT (-121.992851497126 37.309247340672),144,Gullo Park,Park,,,,ESRI,1402010POS,37.30924241,-121.9928384,09/14/2011 12:00:00 AM +0000
POINT (-122.024934455992 37.302459292319),79,Calabazas Park,Park,,,,ESRI,752010POS,37.30245436,-122.02492135,09/14/2011 12:00:00 AM +0000
POINT (-121.984596937573 37.224031675813),960,St. Mary’s School,School,30 Lyndon Avenue,Los Gatos,95030,School Website/NCES,1962014PRIVATE,37.22402675,-121.98458385,03/14/2014 12:00:00 AM +0000
POINT (-121.777762344861 37.228224581905),492,Satellite Dialysis,Clinic,7019 REALM DR,SAN JOSE,95119,Office Of StateWide Health Planning And Development (OSHPD),306434209,37.22821964,-121.77774929,08/10/2012 12:00:00 AM +0000
POINT (-121.989952391357 37.317031855254),195,Mise Park,Park,,,,ESRI,1912010POS,37.31702692,-121.98993929,09/14/2011 12:00:00 AM +0000
POINT (-121.977298241771 37.343540214215),573,Santa Clara Community Center,Community Center,969 Kiely Blvd,Santa Clara,,ISD-GIS -  Compiled data from the internet,212012C,37.34353527,-121.97728514,08/09/2012 12:00:00 AM +0000
POINT (-121.979019181587 37.221226259095),715,Los Gatos Library,Library,110 E. Main Street,Los Gatos,95030,Web,102012LIB,37.22122133,-121.9790061,08/08/2012 12:00:00 AM +0000
POINT (-122.022932553063 37.399399102295),213,Orchard Gardens Park,Park,,,,ESRI,2092010POS,37.39939416,-122.02291944,09/14/2011 12:00:00 AM +0000
POINT (-121.955520273184 37.295111844691),1386,Rosemary Elementary,School,401 West Hamilton Avenue,Campbell,95008,School Website 2014/CA_DEPT_EDU,43693936046676,37.29510691,-121.95550718,10/07/2014 12:00:00 AM +0000
POINT (-122.139797587419 37.443164029347),637,Palo Alto Fire Station 3,FireStation,799  EMBARCADERO RD,Palo Alto,,County Comm,432012FIRE,37.44315909,-122.13978445,08/09/2012 12:00:00 AM +0000
POINT (-121.967350640882 37.233795758848),1269,Raymond J. Fisher Middle,School,19195 Fisher Avenue,Los Gatos,95032,School Website 2014/CA_DEPT_EDU,43695266047567,37.23379083,-121.96733755,09/30/2014 12:00:00 AM +0000
POINT (-121.970994855508 37.31757634056),858,Harker School,School,500 Saratoga Avenue,San Jose,95129,School Website/NCES,852014PRIVATE,37.3175714,-121.97098176,07/10/2009 12:00:00 AM +0000
POINT (-122.01954074041 37.36382990194),70,Braly Park,Park,,,,ESRI,662010POS,37.36382496,-122.01952763,09/14/2011 12:00:00 AM +0000
POINT (-121.726031413776 37.205356653156),1114,Charter School of Morgan Hill,School,9530 Monterey Road,Morgan Hill,95037,School Website 2014/CA_DEPT_EDU,43695836118541,37.20535171,-121.72601837,09/04/2014 12:00:00 AM +0000
POINT (-121.9140944821 37.334170589126),1160,Downtown College Preparatory,School,1460 The Alameda,San Jose,95126,School Website 2014/CA_DEPT_EDU,43696664330585,37.33416565,-121.91408139,09/09/2014 12:00:00 AM +0000
POINT (-121.954358186358 37.393239798281),517,Agnews State Hospital,Hospital,4000 Lafayette Street,Santa Clara,95054,ESRI [2008 & 2010] Map and Data,22012H,37.39323485,-121.95434509,08/01/2011 12:00:00 AM +0000
POINT (-122.025544939965 37.276777227293),1047,Argonaut Elementary,School,13200 Shadow Mountain Road,Saratoga,95070,School Website 2014/CA_DEPT_EDU,43696826049068,37.2767723,-122.02553184,08/26/2014 12:00:00 AM +0000
POINT (-122.033102518427 37.25614456965),1415,Saratoga Elementary,School,14592 Oak Street,Saratoga,95070,School Website 2014/CA_DEPT_EDU,43696826049100,37.25613964,-122.03308942,10/08/2014 12:00:00 AM +0000
POINT (-121.84549003305 37.372652890857),365,Mckee Station,VTA Light Rail Station,Capitol  Fs  Mckee,,,VTA,000113,37.37264794,-121.84547695,01/15/2012 12:00:00 AM +0000
POINT (-121.838218949314 37.23112410038),1389,Sakamoto Elementary,School,6280 Shadelands Drive,San Jose,95123,School Website 2014/CA_DEPT_EDU,43696256072144,37.23111916,-121.83820588,10/07/2014 12:00:00 AM +0000
POINT (-122.049180101927 37.404332196701),382,Bayshore Nasa Station,VTA Light Rail Station,Manila  At  Nasa,,,VTA,000080,37.40432726,-122.04916698,01/15/2012 12:00:00 AM +0000
POINT (-122.031167786887 37.241228641798),8,Villa Montalvo County Park,Park,,,,SCCPRD,22011POS,37.24122371,-122.03115469,09/14/2011 12:00:00 AM +0000
